Library,Title,Date,Time,Location,Age Group,Program Type,Description,Link
Chicago Parks,Oh Deer! Santa is Here at Hamlin,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/oh-deer-santa-here-hamlin
Chicago Parks,Winter Wonderfest at Dvorak,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/winter-wonderfest-dvorak
Chicago Parks,ASI SOMOS: A Digital Photo Exhibit at Humboldt,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/asi-somos-digital-photo-exhibit-humboldt
Chicago Parks,Drop and Shop at Norwood,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/drop-and-shop-norwood
Chicago Parks,Musical Medley at Austin Town Hall,Not found,Pending...,Chicago Park District,All Ages,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/musical-medley-austin-town-hall
Chicago Parks,Senior Citizen Disco Dance at Hale,Not found,Pending...,Chicago Park District,Adults,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/senior-citizen-disco-dance-hale
Chicago Parks,Ravinia Winter Recital at Douglass,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/ravinia-winter-recital-douglass-0
Chicago Parks,Santa's Secret Workshop at Horner,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/santas-secret-workshop-horner-0
Chicago Parks,Santa's Secret Workshop at Horner,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/santas-secret-workshop-horner
Chicago Parks,Cocoa with Santa at Brands,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/cocoa-santa-brands
Chicago Parks,"Cookies, Cocoa, and Crafts at Rutherford Sayre",Not found,Pending...,Chicago Park District,All Ages,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/cookies-cocoa-and-crafts-rutherford-sayre
Chicago Parks,Swim with Santa's Helpers at Welles,Not found,Pending...,Chicago Park District,All Ages,Sports/Fitness,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/swim-santas-helpers-welles
Chicago Parks,"Cocoa, Cookies, & Carols at Berger",Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/cocoa-cookies-carols-berger
Chicago Parks,Holiday Joy at Shedd,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-joy-shedd
Chicago Parks,Holiday Skate with Santa at Midway Plaisance,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-skate-santa-midway-plaisance-0
Chicago Parks,Musical Medley at Austin Town Hall,Not found,Pending...,Chicago Park District,All Ages,Arts/Culture,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/musical-medley-austin-town-hall-0
Chicago Parks,Holiday Toy & Book Giveaway at Franklin,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-toy-book-giveaway-franklin
Chicago Parks,Winter Solstice Festival at NPV,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/winter-solstice-festival-npv
Chicago Parks,City-Wide Symphony Orchestra Holiday Concert at Jefferson,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/city-wide-symphony-orchestra-holiday-concert-jefferson
Chicago Parks,Holiday Skate with Santa at Mt. Greenwood,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/holiday-skate-santa-mt-greenwood
Chicago Parks,Winter Solstice Meditation at Morgan Park SC,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/winter-solstice-meditation-morgan-park-sc
Chicago Parks,Do-It-Yourself Nutcracker at River,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/do-it-yourself-nutcracker-river
Chicago Parks,Veterans Boccia Clinic and Tournament at McKinley,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/veterans-boccia-clinic-and-tournament-mckinley
Chicago Parks,Monday Night Solo Series at Berger,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/monday-night-solo-series-berger-9
Chicago Parks,Pilates in PJs at Rainey,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/pilates-pjs-rainey
Chicago Parks,Veterans Pickleball Tournament at Ellis,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/veterans-pickleball-tournament-ellis
Chicago Parks,Tween Tuesday at Durkin,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/tween-tuesday-durkin
Chicago Parks,A Huntrix Holiday at Pasteur,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/huntrix-holiday-pasteur
Chicago Parks,Community Bonfire at Warren,Not found,Pending...,Chicago Park District,All Ages,Recreation,"11/29/25 LAKEFRONT TRAIL ALERT: The lakefront trail is closed from Oak St. to Ohio St., as is the underpass at Chicago Ave., due to weather conditions. See the Lakefront Trail map here.",https://www.chicagoparkdistrict.com/events/community-bonfire-warren
